time,e Jup calc,e Jup Runge-Kutta,e Jup Bulirsch-Stoer,e Sat calc,e Sat Runge-Kutta,e Sat Bulirsch-Stoer
2840,0.052658692,0.052792086,0.052876666,0.049948761,0.045050785,0.048941343
2850,0.052671801,0.053088674,0.052501175,0.0499145,0.043523717,0.048099036
2860,0.052684899,0.0529708,0.051748992,0.049880222,0.040868166,0.045878602
2870,0.052697985,0.052392004,0.051851532,0.049845928,0.043649681,0.047601342
2880,0.052711061,0.051959413,0.05307361,0.049811617,0.046109307,0.046777509
2890,0.052724125,0.052139139,0.053351688,0.04977729,0.045388568,0.045687733
2900,0.052737178,0.052692385,0.053090412,0.049742946,0.045958693,0.048542838
2910,0.052750221,0.053065582,0.052717572,0.049708586,0.04406454,0.048056347
2920,0.052763252,0.052984257,0.051982598,0.04967421,0.041032632,0.04682465
2930,0.052776272,0.052401904,0.052073094,0.049639817,0.043057967,0.048464246
2940,0.052789281,0.051876601,0.053271493,0.049605408,0.044948497,0.046203836
2950,0.052802279,0.051985813,0.053555113,0.049570982,0.04531361,0.044772968
2960,0.052815265,0.052614359,0.053303866,0.049536541,0.046706185,0.04768069
2970,0.052828241,0.053073802,0.052953073,0.049502083,0.04483805,0.047530149
2980,0.052841206,0.053016662,0.052223736,0.049467608,0.041752406,0.047512571
2990,0.052854159,0.052443071,0.052287296,0.049433118,0.04287726,0.049430084
3000,0.052867101,0.051822346,0.053485443,0.049398611,0.044098033,0.046039333
3010,0.052880032,0.051889225,0.053764704,0.049364089,0.04535875,0.044093817
3020,0.052892952,0.052587155,0.053486957,0.04932955,0.047377664,0.046614217
3030,0.052905861,0.053114068,0.053194304,0.049294994,0.045686171,0.046579949
3040,0.052918759,0.05309608,0.052473081,0.049260423,0.042743942,0.047640957
3050,0.052931645,0.052532084,0.052510341,0.049225836,0.042784623,0.049972032
3060,0.05294452,0.051820804,0.053700155,0.049191233,0.043318523,0.046059067
3070,0.052957385,0.051872664,0.053960618,0.049156613,0.045379767,0.043650298
3080,0.052970237,0.052609772,0.053665544,0.049121978,0.047920019,0.045580204
3090,0.052983079,0.053200422,0.053383634,0.049087326,0.04653337,0.045485973
3100,0.05299591,0.053207573,0.052718158,0.049052659,0.044062556,0.047433023
3110,0.053008729,0.052668148,0.052773197,0.049017976,0.042989304,0.050125311
3120,0.053021537,0.051907889,0.053875518,0.048983276,0.042703419,0.046281751
3130,0.053034334,0.051934792,0.05417788,0.048948561,0.045293664,0.043482715
